region,budget_center_accounting_gl_code
CO,1608-16020-6078
CO,1608-16060-6078
CO,7016-30000-7504
GA,2808-28101-6056
GA,2808-28101-6063
GA,2808-28101-6407
HI,1208-12081-5966
HI,1208-12081-6063
HI,1208-12081-6078
MAS,1808-18801-5938
MAS,1808-18801-5974
MAS,1808-18801-6063
MAS,1808-18801-6067
NCAL,7016-20002-5938
NCAL,7016-20002-5970
NCAL,7016-30000-7434
NCAL,7016-30024-6063
NCAL,7016-30024-7453
NW,1008-10704-6056
NW,1008-10704-6100
NW,1008-10704-6262
NW,1008_10704_6262
ROC,7016-82337-6056
SCAL,7016-82337-5938
SCAL,7016-82337-5965
SCAL,7016-82337-6061
SCAL,7016-82337-6063
WA,1130-11006-6071
WA,1130-11009-6477